ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0234,0,0,좋아요,만족,배송도,예쁘고,붙였어요,4.35,3.0,2.68,2.46,2.45
ANAL-211104-0234,1,0,만족이요 벽이 삐둘어서 그런지 조금 기우뚱하게 붙여지기눈 했지만 만족이요  예쁘네요,아이보리는 엄청 말랑말랑하고 뒷면이 하얘요 찝찝한데 귀찮아서 걍 써요,울아기 굴러다니면서 자서 고민하다가 샀는데 이쁘네요,최고 너무좋아서 다음달이사가면 아이방  놀이방까지 다 이걸로 도배할생각중이에요,아이한테도 안전하고좋고 일단 벽에 해놓으니 평소 우풍이있었는데 우풍도막아주고 이래저래 사용용도가많네요,,,,,
ANAL-211104-0234,0,1,좋아,핑크,,,,1.37,1.0,,,
ANAL-211104-0234,1,1,감촉과두께모두만족그러나색감이촌스러움화이트 컬러는 매우 만족스러워요그런데 핑크가 좀 너무 진한 핑크예요살짝 촌스러워요,푹신푹신함생각했던 것보다 쿠션감 좋아요,,,,,,,,
ANAL-211104-0088,0,0,좋아요,배송도,빠르고,전선,아이,5.14,2.04,1.29,1.02,1.0
ANAL-211104-0088,1,0,배송도 빨라요,좋아요자를때 문구용 커터칼 사용했는데 좀 힘들지만 불가능하진 않아요,아이가 전선을 자꾸 잡아당겨서 숨겨두려고 구매했어요,덕분에 전선정리 깔끔하게 잘했어요,배송도 빠르고 다음에 또 구매할께용,,,,,
ANAL-211104-0088,0,1,깔끔하게,좋은,좋고,제품,너무,3.32,2.92,2.44,1.81,1.72
ANAL-211104-0088,1,1,리뷰에 어떤분은 흰색이라해서 고민없이 구매했는데 아이보리색이네요,아주 좋네요,좋아요좋아요좋아요좋아요,상세에 보이는거 그대로입니다배송도 너무 빠르고요 제품이 너무 좋고 퀄리티도 좋고 너무 만족스럽습니다다른분들에게도 추천하고 있어요,이이거최고  완전 최고굵은 선 랜선 가는선 이렇게 3개까지 꾸겨 넣을 수 있어요,,,,,
ANAL-211104-0074,0,0,좋아요,아기가,만족합니다,열어서,너무,10.37,6.5,2.62,2.5,2.29
ANAL-211104-0074,1,0,여닫이 중문 고정용으로 구매했어요,잘 사용하고 있습니다,너무 약해요,좋아요,후기 좋은데 잘 파괸된다는 치명적인 단점이 있네요,,,,,
