REVIEW_DOC_NO,ANAL_CODE,CLASSIFY,EMPATHY,EMPATHY_SCORE
RVD-220105-0056761,ANAL-211104-0216,사용성,중립,3
RVD-220105-0056760,ANAL-211104-0216,사용성,만족,4
RVD-220105-0056759,ANAL-211104-0216,사용성,만족,4
RVD-220105-0056758,ANAL-211104-0216,사용성,행복,5
RVD-220105-0056757,ANAL-211104-0216,사이즈,만족,4
RVD-220105-0056756,ANAL-211104-0216,사용성,만족,4
RVD-220105-0056755,ANAL-211104-0216,사용성,중립,3
RVD-220105-0056754,ANAL-211104-0216,제품상태,만족,4
RVD-220105-0056753,ANAL-211104-0216,제품상태,만족,4
RVD-220105-0056752,ANAL-211104-0216,제품상태,만족,4
RVD-220105-0056751,ANAL-211104-0186,사용성,만족,4
RVD-220105-0056750,ANAL-211104-0186,사용성,만족,4
RVD-220105-0056748,ANAL-211104-0163,사용성,짜증남,1
RVD-220105-0056747,ANAL-211104-0163,사용성,즐거움,5
RVD-220105-0056746,ANAL-211104-0159,사용성,만족,4
RVD-220105-0043851,ANAL-211104-0275,디자인,만족,4
RVD-220105-0043850,ANAL-211104-0275,사용성,만족,4
RVD-220105-0043849,ANAL-211104-0275,사용성,만족,4
RVD-220105-0043848,ANAL-211104-0066,사용성,중립,3
RVD-220105-0043847,ANAL-211104-0066,사용성,중립,3
RVD-220105-0043846,ANAL-211104-0066,사용성,감동,4
RVD-220105-0043845,ANAL-211104-0066,사용성,바람,4
RVD-220105-0043844,ANAL-211104-0066,사용성,만족,4
RVD-220105-0043843,ANAL-211104-0066,가격,안타까움,2
RVD-220105-0043842,ANAL-211104-0066,사용성,고마움,4
RVD-220105-0043841,ANAL-211104-0066,사용성,행복,5
RVD-220105-0043840,ANAL-211104-0066,사용성,안타까움,2
RVD-220105-0043839,ANAL-211104-0066,사용성,안타까움,2
RVD-220105-0043838,ANAL-211104-0066,사용성,중립,3
RVD-220105-0043837,ANAL-211104-0066,사용성,중립,3
RVD-220105-0043836,ANAL-211104-0066,사용성,만족,4
RVD-220105-0043835,ANAL-211104-0258,디자인,설렘,4
RVD-220105-0043831,ANAL-211104-0154,사용성,기쁨,5
